FTRK+    201     3     3   188    47     3     0     0     0
FTRK+    192    55     3   138     3     1   206    35     1
FTRK+    206    15     3     0     0     0     0     0     0
OTRK+    106    19     3    80    91     3    86    51     3
OTRK+     96    75     3   106    27     3   106     7     3
OTRK+    101    51     1   101    79     3    82    43     3
OTRK+    106    75     3   106    63     3    72     3     2
OTRK+     97    11     1    83    83     3    82    67     6
OTRK+     96    43     3    90     7     2    86    79     3
BTRK     -66    24     3   -59    47     2    52    27     3
BTRK     -35    27     7   -59    27     7    45    47     3
BTRK     -69    47     3     0    47     3     0     0     0
BTRK      59     7     4   -66    35     7     0     0     0
BTRK     -28    11     1    28     3     1   -45    23     3
BTRK      25    11     1     0     0     0     0     0     0
BTRK       8    15     7   -25    15     3    39     7     4
BTRK     -31     7     4   -18    31     3     0     0     0
BTRK     -45    19     7    21    19     5    45    27     6
BTRK      -4    19     3   -39    39     3     0     0     0
BTRK     -66     3     5     0     7     4    62    39     5
BTRK       0    11     3    45    39     7   -45    31     3
OTRK-    -90    51     2   -72    11     5  -101    67     3
OTRK-    -72    27     2  -106    11     1   -86    59     3
OTRK-    -80    59     6   -97     7     1  -101    55     1
OTRK-    -86    59     3   -96    83     3   -72    11     2
OTRK-    -96    39     3     0     0     0     0     0     0
OTRK-    -92    19     3   -83    47     3  -101    43     3
FTRK-   -210    75     3  -160    31     3     0     0     0
FTRK-   -210    15     3  -197    67     3     0     0     0
FTRK-   -197    51     3  -201    27     1  -124    43     3
FTRK-   -197    87     1  -110    31     1  -170    27     3
FTRK-   -147    39     2  -206    35     3  -120    71     3
FTRK-   -210    83     3  -188    79     3  -165    47     3
# Expected emulator output
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO)
FIMD       0   240   175   206     0     1     3   243     0
FIMD       1   240   287   215     0     1     3   243     0
FIMD       2   240   463   192     0     1     3   243     0
FIMD       3   240   519   206     0     1     3   243     0
OIMD       4   140   267   101     0     1     1   141     0
OIMD       5    70   115    80     1     1     3    73     0
OIMD       6    40   295   101     0     1     3    43     0
OIMD       7    36   475    82     0     1     6    42     0
BIMD       8   280   171    28     0     1     1   281     0
BIMD       9    80   427    -4     0     1     3    83     0
BIMD      10    70    71    45     0     1     3    73     0
BIMD      11    70   227    25     1     1     1    71     0
BIMD      12    50   191   -45     0     1     3    53     0
BIMD      13    40   271    39     1     1     4    44     0
BIMD      14    40   319   -31     0     1     4    44     0
BIMD      15    40   535   -45     0     1     3    43     0
OIMD      16    50   223   -97     1     1     1    51     0
OIMD      17    36    75   -90     0     1     2    38     0
OIMD      18    36   131  -106     1     1     1    37     0
OIMD      19    32   323   -72     0     1     2    34     0
FIMD      20   240   443  -206     1     1     3   243     0
FIMD      21   240    11  -210     0     1     3   243     0
FIMD      22   240   399  -197     0     1     1   241     0
FIMD      23    40   259  -124     1     1     3    43     0
OUT        0   280   171    28     0     1     1   281     0     3
OUT        1   240   175   206     0     1     3   243     0     3
OUT        2   240   287   215     0     1     3   243     0     3
OUT        3   240   463   192     0     1     3   243     0     3
OUT        4   240   519   206     0     1     3   243     0     3
OUT        5   240   443  -206     1     1     3   243     0     3
OUT        6   240    11  -210     0     1     3   243     0     3
OUT        7   240   399  -197     0     1     1   241     0     3
################################################################################
# Event: 1
################################################################################
# Calo sums:
CALO0   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
CALO1   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  0
CALO2   0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO3   0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO4   0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  3  0  0  0  0  0  2  0  2  0  0  0  0  0  0  0  0  2
CALO5   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  4  0  0  0  0  0  0  0  0  0  0  1  0  0
CALO6   0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  3  1  0  0  0  0  0  0  0  2  0
CALO7   0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  2  0  0  0  0  0
CALO8   1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  4  0  0  0  0  1  0  0  1  0  0  0  2  0
CALO9   0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO10  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
CALO11  0  0  0  0  0  0  1  0  0  4  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0
CALO12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
CALO13  1  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO14  0  0  0  0  0  0  0  0  5  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
CALO15  0  0  0  0  0  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO16  0  0  0  2  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
CALO17  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  3  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  1  2  1  0
CALO18  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0
CALO19  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0
CALO20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO21  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO22  0  4  4  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  2  0
CALO23  0  0  0  0  1  0  0  0  1  1  0  0  0  0  1  0  0  0  2  0  0  0  0  0  2  0  0  0  0  1  0  1  0  0  0  0
CALO24  0  1  0  0  1  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1
