# ######################################################################
# uGMT testing input file generated from min bias data set
# each line will be either a muon input or a calorimeter sum
#
# ID: information which system sent the data:
# EVT - information about the event, CAL - calorimeter sum, 
# BAR - barrel tf muon, OVL - overlap tf muon, END - endcab tf muon
#
# muon format (separated by one space):
# cable number only for debugging purposes
# variable: ID cable no pT phi eta sign valid sign quality
# n bits  : -  -        9  10  9   1    1          4
#
# calo info format (separated by one space):
# variable: ID ET
# n bits  : -  5
#
# event info format (separated by one space):
# for debugging purposes(?):
# variable: ID No
# n bits  : -  -
# ######################################################################
EVT 0
FWD+ 2 12 192 202 0 1 3 	# muon: pt = 6,  phi = 2.0944,  eta = 2.025,  charge = 0
FWD+ 2 4 280 222 0 1 1 	# muon: pt = 2,  phi = 3.05433,  eta = 2.225,  charge = 0
FWD+ 3 240 288 237 0 1 3 	# muon: pt = 120,  phi = 3.14159,  eta = 2.375,  charge = 0
FWD+ 3 24 360 207 0 1 3 	# muon: pt = 12,  phi = 3.92699,  eta = 2.075,  charge = 0
FWD+ 3 28 316 222 0 1 3 	# muon: pt = 14,  phi = 3.44703,  eta = 2.225,  charge = 0
EVT 6 
OVL- 10 24 396 -80 1 1 2 	# muon: pt = 12,  phi = 4.31969,  eta = -0.80625,  charge = 1
OVL- 11 24 548 -112 1 1 3 	# muon: pt = 12,  phi = 5.97775,  eta = -1.125,  charge = 1
OVL- 11 12 524 -102 0 1 3 	# muon: pt = 6,  phi = 5.71595,  eta = -1.025,  charge = 0
OVL- 11 28 552 -92 0 1 3 	# muon: pt = 14,  phi = 6.02139,  eta = -0.925,  charge = 0
OVL+ 1 36 128 117 0 1 3 	# muon: pt = 18,  phi = 1.39626,  eta = 1.175,  charge = 0
OVL+ 1 24 148 117 1 1 3 	# muon: pt = 12,  phi = 1.61443,  eta = 1.175,  charge = 1
OVL+ 2 24 196 106 0 1 3 	# muon: pt = 12,  phi = 2.13803,  eta = 1.06875,  charge = 0
OVL+ 2 28 260 91 1 1 3 	# muon: pt = 14,  phi = 2.83616,  eta = 0.91875,  charge = 1
